trial,sigma,tau,method,rot_err_deg,trans_err,repr_rmse,runtime_ms,success
0,0.0,nan,EPnP,0.0,8.881784197001252e-16,1.556721137788958e-13,2.1097999997437,1
0,0.0,nan,ITERATIVE,0.0,1.2412670766236366e-16,6.029155041345696e-14,2.9371000127866864,1
0,0.0,0.01,EPnP+TSVD,0.0,8.881784197001252e-16,1.556721137788958e-13,5.965500022284687,1
0,0.0,0.001,EPnP+TSVD,0.0,8.881784197001252e-16,1.556721137788958e-13,0.36990002263337374,1
0,0.0,0.0001,EPnP+TSVD,0.0,8.881784197001252e-16,1.556721137788958e-13,0.36639999598264694,1
0,0.0,1e-05,EPnP+TSVD,0.0,8.881784197001252e-16,1.556721137788958e-13,0.3034999826923013,1
0,0.0,1e-06,EPnP+TSVD,0.0,8.881784197001252e-16,1.556721137788958e-13,0.24670001585036516,1
1,0.0,nan,EPnP,0.0,3.580791979123119e-15,6.355287432313019e-14,0.2194000408053398,1
1,0.0,nan,ITERATIVE,0.0,5.3394968938381206e-15,2.0097183471152322e-14,0.21930004004389048,1
1,0.0,0.01,EPnP+TSVD,0.0,3.580791979123119e-15,6.355287432313019e-14,0.2570999786257744,1
1,0.0,0.001,EPnP+TSVD,0.0,3.580791979123119e-15,6.355287432313019e-14,0.21049997303634882,1
1,0.0,0.0001,EPnP+TSVD,0.0,3.580791979123119e-15,6.355287432313019e-14,0.2223000628873706,1
1,0.0,1e-05,EPnP+TSVD,0.0,3.580791979123119e-15,6.355287432313019e-14,0.21460000425577164,1
1,0.0,1e-06,EPnP+TSVD,0.0,3.580791979123119e-15,6.355287432313019e-14,0.15839992556720972,1
2,0.0,nan,EPnP,0.0,4.6257812371663175e-15,4.175670502151269e-12,0.13920001219958067,1
2,0.0,nan,ITERATIVE,0.0,1.7772239894833365e-15,2.842170943040401e-14,0.2164000179618597,1
2,0.0,0.01,EPnP+TSVD,0.0,4.6257812371663175e-15,4.175670502151269e-12,0.1810999820008874,1
2,0.0,0.001,EPnP+TSVD,0.0,4.6257812371663175e-15,4.175670502151269e-12,0.17579994164407253,1
2,0.0,0.0001,EPnP+TSVD,0.0,4.6257812371663175e-15,4.175670502151269e-12,0.152299995534122,1
2,0.0,1e-05,EPnP+TSVD,0.0,4.6257812371663175e-15,4.175670502151269e-12,0.14649995137006044,1
2,0.0,1e-06,EPnP+TSVD,0.0,4.6257812371663175e-15,4.175670502151269e-12,0.14709995593875647,1
3,0.0,nan,EPnP,0.0,1.3056926080711269e-15,3.041255717879593e-13,0.13029994443058968,1
3,0.0,nan,ITERATIVE,0.0,1.1188630228279524e-16,6.112319729142702e-14,0.14540005940943956,1
3,0.0,0.01,EPnP+TSVD,0.0,1.3056926080711269e-15,3.041255717879593e-13,0.16099994536489248,1
3,0.0,0.001,EPnP+TSVD,0.0,1.3056926080711269e-15,3.041255717879593e-13,0.17250003293156624,1
3,0.0,0.0001,EPnP+TSVD,0.0,1.3056926080711269e-15,3.041255717879593e-13,0.15279999934136868,1
3,0.0,1e-05,EPnP+TSVD,0.0,1.3056926080711269e-15,3.041255717879593e-13,0.14809996355324984,1
3,0.0,1e-06,EPnP+TSVD,0.0,1.3056926080711269e-15,3.041255717879593e-13,0.1479999627918005,1
4,0.0,nan,EPnP,0.0,1.9478403400799704e-15,1.2710574864626038e-13,0.12969993986189365,1
4,0.0,nan,ITERATIVE,0.0,3.557047843738735e-15,4.9227844771419234e-14,0.14220003504306078,1
4,0.0,0.01,EPnP+TSVD,0.0,1.9478403400799704e-15,1.2710574864626038e-13,0.15909993089735508,1
4,0.0,0.001,EPnP+TSVD,0.0,1.9478403400799704e-15,1.2710574864626038e-13,0.16390008386224508,1
4,0.0,0.0001,EPnP+TSVD,0.0,1.9478403400799704e-15,1.2710574864626038e-13,0.1482999650761485,1
4,0.0,1e-05,EPnP+TSVD,0.0,1.9478403400799704e-15,1.2710574864626038e-13,0.14569994527846575,1
4,0.0,1e-06,EPnP+TSVD,0.0,1.9478403400799704e-15,1.2710574864626038e-13,0.14490005560219288,1
5,0.0,nan,EPnP,0.0,1.837746106097754e-15,9.845568954283847e-14,0.1292999368160963,1
5,0.0,nan,ITERATIVE,0.0,1.7832822334594722e-15,0.0,0.14070002362132072,1
5,0.0,0.01,EPnP+TSVD,0.0,1.837746106097754e-15,9.845568954283847e-14,0.2012000186368823,1
5,0.0,0.001,EPnP+TSVD,0.0,1.837746106097754e-15,9.845568954283847e-14,0.17659994773566723,1
5,0.0,0.0001,EPnP+TSVD,0.0,1.837746106097754e-15,9.845568954283847e-14,0.16880000475794077,1
5,0.0,1e-05,EPnP+TSVD,0.0,1.837746106097754e-15,9.845568954283847e-14,0.14669995289295912,1
5,0.0,1e-06,EPnP+TSVD,0.0,1.837746106097754e-15,9.845568954283847e-14,0.152299995534122,1
6,0.0,nan,EPnP,0.0,5.330515925078128e-15,7.78360568894479e-14,0.18990004900842905,1
6,0.0,nan,ITERATIVE,0.0,1.789373782233265e-15,2.0097183471152322e-14,0.25159993674606085,1
6,0.0,0.01,EPnP+TSVD,0.0,5.330515925078128e-15,7.78360568894479e-14,0.3334999782964587,1
6,0.0,0.001,EPnP+TSVD,0.0,5.330515925078128e-15,7.78360568894479e-14,0.24540000595152378,1
6,0.0,0.0001,EPnP+TSVD,0.0,5.330515925078128e-15,7.78360568894479e-14,0.16439997125416994,1
6,0.0,1e-05,EPnP+TSVD,0.0,5.330515925078128e-15,7.78360568894479e-14,0.15199999324977398,1
6,0.0,1e-06,EPnP+TSVD,0.0,5.330515925078128e-15,7.78360568894479e-14,0.15369988977909088,1
7,0.0,nan,EPnP,0.0,8.441346246566166e-15,1.932911333021404e-12,0.13780000153928995,1
7,0.0,nan,ITERATIVE,0.0,9.053594779595603e-16,7.384176715712886e-14,0.1531000016257167,1
7,0.0,0.01,EPnP+TSVD,0.0,8.441346246566166e-15,1.932911333021404e-12,0.1700000138953328,1
7,0.0,0.001,EPnP+TSVD,0.0,8.441346246566166e-15,1.932911333021404e-12,0.27439999394118786,1
7,0.0,0.0001,EPnP+TSVD,0.0,8.441346246566166e-15,1.932911333021404e-12,0.22060004994273186,1
7,0.0,1e-05,EPnP+TSVD,0.0,8.441346246566166e-15,1.932911333021404e-12,0.23480004165321589,1
7,0.0,1e-06,EPnP+TSVD,0.0,8.441346246566166e-15,1.932911333021404e-12,0.2582999877631664,1
8,0.0,nan,EPnP,0.0,1.5858571427051735e-14,1.1967952909297758e-12,0.2093999646604061,1
8,0.0,nan,ITERATIVE,0.0,8.955206467987463e-16,5.684341886080802e-14,0.17439993098378181,1
8,0.0,0.01,EPnP+TSVD,0.0,1.5858571427051735e-14,1.1967952909297758e-12,0.21049997303634882,1
8,0.0,0.001,EPnP+TSVD,0.0,1.5858571427051735e-14,1.1967952909297758e-12,0.17870008014142513,1
8,0.0,0.0001,EPnP+TSVD,0.0,1.5858571427051735e-14,1.1967952909297758e-12,0.2772000152617693,1
8,0.0,1e-05,EPnP+TSVD,0.0,1.5858571427051735e-14,1.1967952909297758e-12,0.17079990357160568,1
8,0.0,1e-06,EPnP+TSVD,0.0,1.5858571427051735e-14,1.1967952909297758e-12,0.1601999392732978,1
9,0.0,nan,EPnP,0.0,4.265572364150179e-14,3.1069491667886165e-13,0.18049997743219137,1
9,0.0,nan,ITERATIVE,0.0,1.7806883670196607e-15,2.0097183471152322e-14,0.16090006101876497,1
9,0.0,0.01,EPnP+TSVD,0.0,4.265572364150179e-14,3.1069491667886165e-13,0.20760006736963987,1
9,0.0,0.001,EPnP+TSVD,0.0,4.265572364150179e-14,3.1069491667886165e-13,0.16920000780373812,1
9,0.0,0.0001,EPnP+TSVD,0.0,4.265572364150179e-14,3.1069491667886165e-13,0.15440001152455807,1
9,0.0,1e-05,EPnP+TSVD,0.0,4.265572364150179e-14,3.1069491667886165e-13,0.15209999401122332,1
9,0.0,1e-06,EPnP+TSVD,0.0,4.265572364150179e-14,3.1069491667886165e-13,0.16960001084953547,1
10,0.0,nan,EPnP,0.0,5.526915022138216e-15,1.797546735911271e-13,0.13639999087899923,1
10,0.0,nan,ITERATIVE,0.0,1.4946834900704541e-16,4.4938668397781776e-14,0.16469997353851795,1
10,0.0,0.01,EPnP+TSVD,0.0,5.526915022138216e-15,1.797546735911271e-13,0.16980001237243414,1
10,0.0,0.001,EPnP+TSVD,0.0,5.526915022138216e-15,1.797546735911271e-13,0.15330000314861536,1
10,0.0,0.0001,EPnP+TSVD,0.0,5.526915022138216e-15,1.797546735911271e-13,0.18470000941306353,1
10,0.0,1e-05,EPnP+TSVD,0.0,5.526915022138216e-15,1.797546735911271e-13,0.15900004655122757,1
10,0.0,1e-06,EPnP+TSVD,0.0,5.526915022138216e-15,1.797546735911271e-13,0.15329988673329353,1
11,0.0,nan,EPnP,0.0,8.011009358445973e-15,1.56964020692204e-13,0.13729999773204327,1
11,0.0,nan,ITERATIVE,0.0,8.972462057963896e-16,2.842170943040401e-14,0.16299996059387922,1
11,0.0,0.01,EPnP+TSVD,0.0,8.011009358445973e-15,1.56964020692204e-13,0.17919996753335,1
11,0.0,0.001,EPnP+TSVD,0.0,8.011009358445973e-15,1.56964020692204e-13,0.1550000160932541,1
11,0.0,0.0001,EPnP+TSVD,0.0,8.011009358445973e-15,1.56964020692204e-13,0.1615999499335885,1
11,0.0,1e-05,EPnP+TSVD,0.0,8.011009358445973e-15,1.56964020692204e-13,0.1588000450283289,1
11,0.0,1e-06,EPnP+TSVD,0.0,8.011009358445973e-15,1.56964020692204e-13,0.1534000039100647,1
12,0.0,nan,EPnP,0.0,3.575867262605e-15,1.2224639458285405e-13,0.13550010044127703,1
12,0.0,nan,ITERATIVE,0.0,1.7785780651003302e-15,3.4809342861069267e-14,0.14739995822310448,1
12,0.0,0.01,EPnP+TSVD,0.0,3.575867262605e-15,1.2224639458285405e-13,0.2568999771028757,1
12,0.0,0.001,EPnP+TSVD,0.0,3.575867262605e-15,1.2224639458285405e-13,0.3890999360010028,1
12,0.0,0.0001,EPnP+TSVD,0.0,3.575867262605e-15,1.2224639458285405e-13,0.23609993513673544,1
12,0.0,1e-05,EPnP+TSVD,0.0,3.575867262605e-15,1.2224639458285405e-13,0.19379996228963137,1
12,0.0,1e-06,EPnP+TSVD,0.0,3.575867262605e-15,1.2224639458285405e-13,0.16169995069503784,1
13,0.0,nan,EPnP,0.0,5.561946577567963e-16,9.638270602075164e-14,0.13880000915378332,1
13,0.0,nan,ITERATIVE,0.0,3.4021815010030383e-16,2.842170943040401e-14,0.15109998639672995,1
13,0.0,0.01,EPnP+TSVD,0.0,5.561946577567963e-16,9.638270602075164e-14,0.16799999866634607,1
13,0.0,0.001,EPnP+TSVD,0.0,5.561946577567963e-16,9.638270602075164e-14,0.15089998487383127,1
13,0.0,0.0001,EPnP+TSVD,0.0,5.561946577567963e-16,9.638270602075164e-14,0.15089998487383127,1
13,0.0,1e-05,EPnP+TSVD,0.0,5.561946577567963e-16,9.638270602075164e-14,0.15159999020397663,1
13,0.0,1e-06,EPnP+TSVD,0.0,5.561946577567963e-16,9.638270602075164e-14,0.1865000231191516,1
14,0.0,nan,EPnP,0.0,1.5536516105112614e-13,3.1792956614947364e-12,0.13760000001639128,1
14,0.0,nan,ITERATIVE,0.0,8.989550626504553e-16,4.0194366942304644e-14,0.14729995746165514,1
14,0.0,0.01,EPnP+TSVD,0.0,1.5536516105112614e-13,3.1792956614947364e-12,0.1735000405460596,1
14,0.0,0.001,EPnP+TSVD,0.0,1.5536516105112614e-13,3.1792956614947364e-12,0.16930000856518745,1
14,0.0,0.0001,EPnP+TSVD,0.0,1.5536516105112614e-13,3.1792956614947364e-12,0.1700000138953328,1
14,0.0,1e-05,EPnP+TSVD,0.0,1.5536516105112614e-13,3.1792956614947364e-12,0.16609998419880867,1
14,0.0,1e-06,EPnP+TSVD,0.0,1.5536516105112614e-13,3.1792956614947364e-12,0.1514999894425273,1
15,0.0,nan,EPnP,0.0,2.6944360297401985e-15,1.507288760336424e-13,0.1360001042485237,1
15,0.0,nan,ITERATIVE,0.0,5.551115123125783e-17,2.0097183471152322e-14,0.14400004874914885,1
15,0.0,0.01,EPnP+TSVD,0.0,2.6944360297401985e-15,1.507288760336424e-13,0.18079997971653938,1
15,0.0,0.001,EPnP+TSVD,0.0,2.6944360297401985e-15,1.507288760336424e-13,0.18309999722987413,1
15,0.0,0.0001,EPnP+TSVD,0.0,2.6944360297401985e-15,1.507288760336424e-13,0.1729000359773636,1
15,0.0,1e-05,EPnP+TSVD,0.0,2.6944360297401985e-15,1.507288760336424e-13,0.15740003436803818,1
15,0.0,1e-06,EPnP+TSVD,0.0,2.6944360297401985e-15,1.507288760336424e-13,0.1743000466376543,1
16,0.0,nan,EPnP,0.0,2.556302075519615e-15,9.786420427361202e-13,0.13840000610798597,1
16,0.0,nan,ITERATIVE,0.0,8.441528768080324e-17,2.842170943040401e-14,0.14929997269064188,1
16,0.0,0.01,EPnP+TSVD,0.0,2.556302075519615e-15,9.786420427361202e-13,0.16729999333620071,1
16,0.0,0.001,EPnP+TSVD,0.0,2.556302075519615e-15,9.786420427361202e-13,0.15279999934136868,1
16,0.0,0.0001,EPnP+TSVD,0.0,2.556302075519615e-15,9.786420427361202e-13,0.16589998267591,1
16,0.0,1e-05,EPnP+TSVD,0.0,2.556302075519615e-15,9.786420427361202e-13,0.15049998182803392,1
16,0.0,1e-06,EPnP+TSVD,0.0,2.556302075519615e-15,9.786420427361202e-13,0.1471000723540783,1
